Category,Term,Count,PValue,FoldEnrichment,GeneRatio
BP,细胞周期调控,13,7.493900663605382e-06,3.72,43/300
BP,DNA损伤修复,26,0.003268677933705695,4.95,33/208
BP,细胞凋亡,41,1.463915768951084e-10,4.7,25/141
BP,免疫应答,45,2.9275005557161326e-08,3.44,29/477
BP,血管生成,31,0.012594118537815646,4.56,44/197
BP,细胞增殖,16,4.987496112874276e-05,3.23,14/272
BP,转录调控,21,5.874010574721782e-07,2.84,6/409
BP,蛋白质磷酸化,69,5.561449670362887e-10,3.61,30/128
BP,信号转导,25,0.003417518831459018,3.03,40/212
BP,细胞分化,63,4.7216679329526176e-08,3.48,38/154
BP,炎症反应,28,0.027006459578164308,4.06,37/349
BP,氧化应激响应,40,7.220794912252083e-06,2.07,47/436
MF,蛋白激酶活性,66,0.03954820844539895,2.04,13/253
MF,DNA结合,70,9.107187504674434e-10,1.76,21/228
MF,转录因子活性,65,0.00015689950298046273,3.02,43/390
MF,GTP酶活性,7,5.010581109295633e-10,1.51,34/201
MF,受体结合,16,1.7732300092094206e-07,1.82,21/429
MF,ATP结合,61,1.0328849670905202e-06,2.15,20/315
MF,蛋白结合,12,5.63046765574333e-05,4.16,41/473
MF,酶活性调节,74,0.06686382261059806,4.66,16/242
CC,细胞核,63,0.07744833256132158,4.8,36/365
CC,细胞质,20,0.021243929756272352,2.13,25/185
CC,线粒体,11,2.0207556756824004e-10,3.94,13/470
CC,内质网,52,1.0902803658403997e-09,2.98,33/181
CC,细胞膜,43,1.2482258299160273e-06,3.33,43/372
CC,高尔基体,18,2.3250318488534512e-05,2.31,49/197
CC,溶酶体,7,0.00018475618368601952,2.69,27/463
CC,细胞外基质,43,6.880389754446581e-08,3.39,33/496
