DEG分析,蛋白组学,文献报道
Gene_0404,Gene_0318,Gene_0098
Gene_0158,Gene_0454,Gene_0418
Gene_0409,Gene_0443,Gene_0296
Gene_0460,Gene_0098,Gene_0449
Gene_0148,Gene_0418,Gene_0288
Gene_0284,Gene_0279,Gene_0376
Gene_0047,Gene_0409,Gene_0292
Gene_0345,Gene_0039,Gene_0253
Gene_0432,Gene_0047,Gene_0067
Gene_0143,Gene_0237,Gene_0325
Gene_0237,Gene_0325,Gene_0211
Gene_0325,Gene_0478,Gene_0428
Gene_0018,Gene_0015,Gene_0461
Gene_0483,Gene_0412,Gene_0300
Gene_0387,Gene_0185,Gene_0499
Gene_0015,Gene_0078,Gene_0155
Gene_0440,Gene_0134,Gene_0242
Gene_0480,Gene_0285,Gene_0052
Gene_0412,Gene_0242,Gene_0324
Gene_0421,Gene_0100,Gene_0197
Gene_0383,Gene_0031,VEGFA
Gene_0070,Gene_0437,Gene_0380
Gene_0134,VEGFA,Gene_0176
Gene_0054,Gene_0176,Gene_0133
Gene_0031,Gene_0036,Gene_0224
Gene_0420,Gene_0254,BRCA1
VEGFA,Gene_0043,Gene_0095
Gene_0036,Gene_0049,Gene_0435
Gene_0041,Gene_0133,Gene_0178
Gene_0200,Gene_0040,Gene_0438
Gene_0043,Gene_0110,Gene_0264
Gene_0049,Gene_0038,Gene_0406
Gene_0084,Gene_0354,Gene_0026
Gene_0287,Gene_0136,Gene_0367
Gene_0326,Gene_0055,Gene_0273
Gene_0040,Gene_0425,Gene_0436
Gene_0316,Gene_0248,Gene_0025
Gene_0034,MYC,Gene_0398
Gene_0110,Gene_0252,Gene_0082
Gene_0038,Gene_0037,Gene_0032
Gene_0037,Gene_0294,Gene_0498
Gene_0463,Gene_0027,Gene_0217
Gene_0065,Gene_0495,Gene_0492
Gene_0314,Gene_0095,Gene_0024
Gene_0027,Gene_0282,Gene_0429
Gene_0099,Gene_0029,Gene_0369
Gene_0178,Gene_0273,Gene_0393
Gene_0282,Gene_0436,Gene_0297
Gene_0438,Gene_0228,Gene_0140
Gene_0029,Gene_0111,Gene_0391
Gene_0264,Gene_0487,Gene_0381
Gene_0373,Gene_0424,Gene_0341
Gene_0342,Gene_0087,Gene_0175
Gene_0035,Gene_0221,Gene_0408
Gene_0117,Gene_0082,Gene_0122
Gene_0111,Gene_0127,Gene_0346
Gene_0227,Gene_0161,Gene_0066
Gene_0450,Gene_0492,Gene_0090
Gene_0124,Gene_0042,PTEN
Gene_0108,Gene_0451,Gene_0058
Gene_0170,Gene_0017,Gene_0430
Gene_0082,Gene_0016,Gene_0256
Gene_0127,Gene_0024,Gene_0130
Gene_0498,Gene_0080,Gene_0329
Gene_0042,Gene_0429,Gene_0361
Gene_0374,Gene_0210,Gene_0206
Gene_0491,Gene_0334,Gene_0192
Gene_0311,Gene_0347,Gene_0156
Gene_0016,Gene_0297,Gene_0426
Gene_0389,Gene_0267,Gene_0363
Gene_0455,BCL2,Gene_0372
Gene_0393,TP53,Gene_0204
Gene_0334,Gene_0381,Gene_0194
Gene_0297,Gene_0196,Gene_0240
Gene_0267,Gene_0341,GAPDH
BCL2,Gene_0413,Gene_0141
Gene_0245,Gene_0093,Gene_0304
Gene_0298,Gene_0048,Gene_0417
TP53,Gene_0181,Gene_0114
Gene_0270,Gene_0466,Gene_0490
Gene_0411,Gene_0056,
Gene_0341,Gene_0086,
Gene_0093,Gene_0469,
BAX,Gene_0235,
Gene_0392,Gene_0147,
Gene_0048,Gene_0243,
Gene_0368,Gene_0295,
Gene_0497,Gene_0094,
Gene_0231,Gene_0214,
Gene_0181,Gene_0405,
Gene_0068,PTEN,
Gene_0056,Gene_0121,
Gene_0086,Gene_0430,
Gene_0340,Gene_0395,
Gene_0151,Gene_0321,
Gene_0469,Gene_0468,
Gene_0306,Gene_0414,
Gene_0153,Gene_0308,
Gene_0291,Gene_0112,
Gene_0401,Gene_0028,
Gene_0069,Gene_0044,
Gene_0229,Gene_0199,
Gene_0216,Gene_0053,
Gene_0137,Gene_0126,
Gene_0066,Gene_0372,
Gene_0360,NOTCH1,
HIF1A,GAPDH,
Gene_0179,Gene_0033,
Gene_0090,Gene_0271,
Gene_0193,Gene_0061,
Gene_0256,Gene_0257,
Gene_0494,Gene_0060,
Gene_0276,Gene_0023,
Gene_0206,Gene_0417,
Gene_0302,Gene_0489,
Gene_0028,,
Gene_0150,,
Gene_0472,,
Gene_0131,,
Gene_0044,,
Gene_0255,,
Gene_0357,,
Gene_0172,,
Gene_0128,,
Gene_0126,,
Gene_0458,,
Gene_0286,,
Gene_0204,,
NOTCH1,,
Gene_0077,,
Gene_0033,,
Gene_0407,,
Gene_0488,,
Gene_0293,,
Gene_0023,,
Gene_0050,,
Gene_0166,,
